one,two,three,four,five,six,seven,eight
4,6,10,11,21,29,31,33
4,6,10,11,23,24,27,28
4,6,10,11,23,24,27,29
4,6,10,11,23,24,28,31
4,6,10,11,23,24,29,31
4,6,10,11,23,27,28,33
4,6,10,11,23,27,29,33
4,6,10,11,23,28,31,33
4,6,10,11,23,29,31,33
4,6,10,11,24,27,28,30
4,6,10,11,24,27,29,30
4,6,10,11,24,28,30,31
4,6,10,11,24,29,30,31
4,6,10,11,27,28,30,33
4,6,10,11,27,29,30,33
4,6,10,11,28,30,31,33
4,6,10,11,29,30,31,33
4,6,10,12,15,17,27,28
4,6,10,12,15,17,27,29
4,6,10,12,15,17,28,31
4,6,10,12,15,17,29,31
4,6,10,12,17,21,27,28
4,6,10,12,17,21,27,29
4,6,10,12,17,21,28,31
4,6,10,12,17,21,29,31
4,6,10,12,17,23,27,28
4,6,10,12,17,23,27,29
4,6,10,12,17,23,28,31
4,6,10,12,17,23,29,31
4,6,10,12,17,27,28,30
4,6,10,12,17,27,29,30
4,6,10,12,17,28,30,31
4,6,10,12,17,29,30,31
4,6,10,15,16,17,27,28
4,6,10,15,16,17,27,29
4,6,10,15,16,17,28,31
4,6,10,15,16,17,29,31
4,6,10,15,17,24,27,28
4,6,10,15,17,24,27,29
4,6,10,15,17,24,28,31
4,6,10,15,17,24,29,31
4,6,10,15,17,27,28,33
4,6,10,15,17,27,29,33
4,6,10,15,17,28,31,33
4,6,10,15,17,29,31,33
4,6,10,16,17,21,27,28
4,6,10,16,17,21,27,29
4,6,10,16,17,21,28,31
4,6,10,16,17,21,29,31
4,6,10,16,17,23,27,28
4,6,10,16,17,23,27,29
4,6,10,16,17,23,28,31
4,6,10,16,17,23,29,31
4,6,10,16,17,27,28,30
4,6,10,16,17,27,29,30
4,6,10,16,17,28,30,31
4,6,10,16,17,29,30,31
4,6,10,17,21,24,27,28
4,6,10,17,21,24,27,29
4,6,10,17,21,24,28,31
4,6,10,17,21,24,29,31
4,6,10,17,21,27,28,33
4,6,10,17,21,27,29,33
4,6,10,17,21,28,31,33
4,6,10,17,21,29,31,33
4,6,10,17,23,24,27,28
4,6,10,17,23,24,27,29
4,6,10,17,23,24,28,31
4,6,10,17,23,24,29,31
4,6,10,17,23,27,28,33
4,6,10,17,23,27,29,33
4,6,10,17,23,28,31,33
4,6,10,17,23,29,31,33
4,6,10,17,24,27,28,30
4,6,10,17,24,27,29,30
4,6,10,17,24,28,30,31
4,6,10,17,24,29,30,31
4,6,10,17,27,28,30,33
4,6,10,17,27,29,30,33
4,6,10,17,28,30,31,33
4,6,10,17,29,30,31,33
4,8,9,10,11,12,16,27
4,8,9,10,11,12,16,31
4,8,9,10,11,12,24,27
4,8,9,10,11,12,24,31
4,8,9,10,11,12,27,33
4,8,9,10,11,12,31,33
4,8,9,10,11,16,24,27
4,8,9,10,11,16,24,31
4,8,9,10,11,16,27,33
4,8,9,10,11,16,31,33
4,8,9,10,11,24,27,33
4,8,9,10,11,24,31,33
4,8,9,10,12,16,17,27
4,8,9,10,12,16,17,31
4,8,9,10,12,17,24,27
4,8,9,10,12,17,24,31
4,8,9,10,12,17,27,33
4,8,9,10,12,17,31,33
4,8,9,10,16,17,24,27
4,8,9,10,16,17,24,31
4,8,9,10,16,17,27,33
4,8,9,10,16,17,31,33
4,8,9,10,17,24,27,33
4,8,9,10,17,24,31,33
4,8,10,11,12,15,16,27
4,8,10,11,12,15,16,31
4,8,10,11,12,15,24,27
4,8,10,11,12,15,24,31
4,8,10,11,12,15,27,33
4,8,10,11,12,15,31,33
4,8,10,11,12,16,21,27
4,8,10,11,12,16,21,31
4,8,10,11,12,16,23,27
4,8,10,11,12,16,23,31
4,8,10,11,12,16,27,30
4,8,10,11,12,16,30,31
4,8,10,11,12,21,24,27
4,8,10,11,12,21,24,31
4,8,10,11,12,21,27,33
4,8,10,11,12,21,31,33
4,8,10,11,12,23,24,27
4,8,10,11,12,23,24,31
4,8,10,11,12,23,27,33
4,8,10,11,12,23,31,33
4,8,10,11,12,24,27,30
4,8,10,11,12,24,30,31
4,8,10,11,12,27,30,33
4,8,10,11,12,30,31,33
4,8,10,11,15,16,24,27
4,8,10,11,15,16,24,31
4,8,10,11,15,16,27,33
4,8,10,11,15,16,31,33
4,8,10,11,15,24,27,33
4,8,10,11,15,24,31,33
4,8,10,11,16,21,24,27
4,8,10,11,16,21,24,31
4,8,10,11,16,21,27,33
4,8,10,11,16,21,31,33
4,8,10,11,16,23,24,27
4,8,10,11,16,23,24,31
4,8,10,11,16,23,27,33
4,8,10,11,16,23,31,33
4,8,10,11,16,24,27,30
4,8,10,11,16,24,30,31
4,8,10,11,16,27,30,33
4,8,10,11,16,30,31,33
4,8,10,11,21,24,27,33
4,8,10,11,21,24,31,33
4,8,10,11,23,24,27,33
4,8,10,11,23,24,31,33
4,8,10,11,24,27,30,33
4,8,10,11,24,30,31,33
4,8,10,12,15,16,17,27
4,8,10,12,15,16,17,31
4,8,10,12,15,17,24,27
4,8,10,12,15,17,24,31
4,8,10,12,15,17,27,33
4,8,10,12,15,17,31,33
4,8,10,12,16,17,21,27
4,8,10,12,16,17,21,31
4,8,10,12,16,17,23,27
4,8,10,12,16,17,23,31
4,8,10,12,16,17,27,30
4,8,10,12,16,17,30,31
4,8,10,12,17,21,24,27
4,8,10,12,17,21,24,31
4,8,10,12,17,21,27,33
4,8,10,12,17,21,31,33
4,8,10,12,17,23,24,27
4,8,10,12,17,23,24,31
4,8,10,12,17,23,27,33
4,8,10,12,17,23,31,33
4,8,10,12,17,24,27,30
4,8,10,12,17,24,30,31
4,8,10,12,17,27,30,33
4,8,10,12,17,30,31,33
4,8,10,15,16,17,24,27
4,8,10,15,16,17,24,31
4,8,10,15,16,17,27,33
4,8,10,15,16,17,31,33
4,8,10,15,17,24,27,33
4,8,10,15,17,24,31,33
4,8,10,16,17,21,24,27
4,8,10,16,17,21,24,31
4,8,10,16,17,21,27,33
4,8,10,16,17,21,31,33
4,8,10,16,17,23,24,27
4,8,10,16,17,23,24,31
4,8,10,16,17,23,27,33
4,8,10,16,17,23,31,33
4,8,10,16,17,24,27,30
4,8,10,16,17,24,30,31
4,8,10,16,17,27,30,33
4,8,10,16,17,30,31,33
4,8,10,17,21,24,27,33
4,8,10,17,21,24,31,33
4,8,10,17,23,24,27,33
4,8,10,17,23,24,31,33
4,8,10,17,24,27,30,33
4,8,10,17,24,30,31,33
4,9,10,11,12,16,27,28
4,9,10,11,12,16,27,29
4,9,10,11,12,16,28,31
4,9,10,11,12,16,29,31
4,9,10,11,12,24,27,28
4,9,10,11,12,24,27,29
4,9,10,11,12,24,28,31
4,9,10,11,12,24,29,31
4,9,10,11,12,27,28,33
4,9,10,11,12,27,29,33
4,9,10,11,12,28,31,33
4,9,10,11,12,29,31,33
4,9,10,11,16,24,27,28
4,9,10,11,16,24,27,29
4,9,10,11,16,24,28,31
4,9,10,11,16,24,29,31
4,9,10,11,16,27,28,33
4,9,10,11,16,27,29,33
4,9,10,11,16,28,31,33
4,9,10,11,16,29,31,33
4,9,10,11,24,27,28,33
4,9,10,11,24,27,29,33
4,9,10,11,24,28,31,33
4,9,10,11,24,29,31,33
4,9,10,12,16,17,27,28
4,9,10,12,16,17,27,29
4,9,10,12,16,17,28,31
4,9,10,12,16,17,29,31
4,9,10,12,17,24,27,28
4,9,10,12,17,24,27,29
4,9,10,12,17,24,28,31
4,9,10,12,17,24,29,31
4,9,10,12,17,27,28,33
4,9,10,12,17,27,29,33
4,9,10,12,17,28,31,33
4,9,10,12,17,29,31,33
4,9,10,16,17,24,27,28
4,9,10,16,17,24,27,29
4,9,10,16,17,24,28,31
4,9,10,16,17,24,29,31
4,9,10,16,17,27,28,33
4,9,10,16,17,27,29,33
4,9,10,16,17,28,31,33
4,9,10,16,17,29,31,33
4,9,10,17,24,27,28,33
4,9,10,17,24,27,29,33
4,9,10,17,24,28,31,33
4,9,10,17,24,29,31,33
4,10,11,12,15,16,27,28
4,10,11,12,15,16,27,29
4,10,11,12,15,16,28,31
4,10,11,12,15,16,29,31
4,10,11,12,15,24,27,28
4,10,11,12,15,24,27,29
4,10,11,12,15,24,28,31
4,10,11,12,15,24,29,31
4,10,11,12,15,27,28,33
4,10,11,12,15,27,29,33
4,10,11,12,15,28,31,33
4,10,11,12,15,29,31,33
4,10,11,12,16,21,27,28
4,10,11,12,16,21,27,29
4,10,11,12,16,21,28,31
4,10,11,12,16,21,29,31
4,10,11,12,16,23,27,28
4,10,11,12,16,23,27,29
4,10,11,12,16,23,28,31
4,10,11,12,16,23,29,31
4,10,11,12,16,27,28,30
4,10,11,12,16,27,29,30
4,10,11,12,16,28,30,31
4,10,11,12,16,29,30,31
4,10,11,12,21,24,27,28
4,10,11,12,21,24,27,29
4,10,11,12,21,24,28,31
4,10,11,12,21,24,29,31
4,10,11,12,21,27,28,33
4,10,11,12,21,27,29,33
4,10,11,12,21,28,31,33
4,10,11,12,21,29,31,33
4,10,11,12,23,24,27,28
4,10,11,12,23,24,27,29
4,10,11,12,23,24,28,31
4,10,11,12,23,24,29,31
4,10,11,12,23,27,28,33
4,10,11,12,23,27,29,33
4,10,11,12,23,28,31,33
4,10,11,12,23,29,31,33
4,10,11,12,24,27,28,30
4,10,11,12,24,27,29,30
4,10,11,12,24,28,30,31
4,10,11,12,24,29,30,31
4,10,11,12,27,28,30,33
4,10,11,12,27,29,30,33
4,10,11,12,28,30,31,33
4,10,11,12,29,30,31,33
4,10,11,15,16,24,27,28
4,10,11,15,16,24,27,29
4,10,11,15,16,24,28,31
4,10,11,15,16,24,29,31
4,10,11,15,16,27,28,33
4,10,11,15,16,27,29,33
4,10,11,15,16,28,31,33
4,10,11,15,16,29,31,33
4,10,11,15,24,27,28,33
4,10,11,15,24,27,29,33
4,10,11,15,24,28,31,33
4,10,11,15,24,29,31,33
4,10,11,16,21,24,27,28
4,10,11,16,21,24,27,29
4,10,11,16,21,24,28,31
4,10,11,16,21,24,29,31
4,10,11,16,21,27,28,33
4,10,11,16,21,27,29,33
4,10,11,16,21,28,31,33
4,10,11,16,21,29,31,33
4,10,11,16,23,24,27,28
4,10,11,16,23,24,27,29
4,10,11,16,23,24,28,31
4,10,11,16,23,24,29,31
4,10,11,16,23,27,28,33
4,10,11,16,23,27,29,33
4,10,11,16,23,28,31,33
4,10,11,16,23,29,31,33
4,10,11,16,24,27,28,30
4,10,11,16,24,27,29,30
4,10,11,16,24,28,30,31
4,10,11,16,24,29,30,31
4,10,11,16,27,28,30,33
4,10,11,16,27,29,30,33
4,10,11,16,28,30,31,33
4,10,11,16,29,30,31,33
4,10,11,21,24,27,28,33
4,10,11,21,24,27,29,33
4,10,11,21,24,28,31,33
4,10,11,21,24,29,31,33
4,10,11,23,24,27,28,33
4,10,11,23,24,27,29,33
4,10,11,23,24,28,31,33
4,10,11,23,24,29,31,33
4,10,11,24,27,28,30,33
4,10,11,24,27,29,30,33
4,10,11,24,28,30,31,33
4,10,11,24,29,30,31,33
4,10,12,15,16,17,27,28
4,10,12,15,16,17,27,29
4,10,12,15,16,17,28,31
4,10,12,15,16,17,29,31
4,10,12,15,17,24,27,28
4,10,12,15,17,24,27,29
4,10,12,15,17,24,28,31
4,10,12,15,17,24,29,31
4,10,12,15,17,27,28,33
4,10,12,15,17,27,29,33
4,10,12,15,17,28,31,33
4,10,12,15,17,29,31,33
4,10,12,16,17,21,27,28
4,10,12,16,17,21,27,29
4,10,12,16,17,21,28,31
4,10,12,16,17,21,29,31
4,10,12,16,17,23,27,28
4,10,12,16,17,23,27,29
4,10,12,16,17,23,28,31
4,10,12,16,17,23,29,31
4,10,12,16,17,27,28,30
4,10,12,16,17,27,29,30
4,10,12,16,17,28,30,31
4,10,12,16,17,29,30,31
4,10,12,17,21,24,27,28
4,10,12,17,21,24,27,29
4,10,12,17,21,24,28,31
4,10,12,17,21,24,29,31
4,10,12,17,21,27,28,33
4,10,12,17,21,27,29,33
4,10,12,17,21,28,31,33
4,10,12,17,21,29,31,33
4,10,12,17,23,24,27,28
4,10,12,17,23,24,27,29
4,10,12,17,23,24,28,31
4,10,12,17,23,24,29,31
4,10,12,17,23,27,28,33
4,10,12,17,23,27,29,33
4,10,12,17,23,28,31,33
4,10,12,17,23,29,31,33
4,10,12,17,24,27,28,30
4,10,12,17,24,27,29,30
4,10,12,17,24,28,30,31
4,10,12,17,24,29,30,31
4,10,12,17,27,28,30,33
4,10,12,17,27,29,30,33
4,10,12,17,28,30,31,33
4,10,12,17,29,30,31,33
4,10,15,16,17,24,27,28
4,10,15,16,17,24,27,29
4,10,15,16,17,24,28,31
4,10,15,16,17,24,29,31
4,10,15,16,17,27,28,33
4,10,15,16,17,27,29,33
4,10,15,16,17,28,31,33
4,10,15,16,17,29,31,33
4,10,15,17,24,27,28,33
4,10,15,17,24,27,29,33
4,10,15,17,24,28,31,33
4,10,15,17,24,29,31,33
4,10,16,17,21,24,27,28
4,10,16,17,21,24,27,29
4,10,16,17,21,24,28,31
4,10,16,17,21,24,29,31
4,10,16,17,21,27,28,33
4,10,16,17,21,27,29,33
4,10,16,17,21,28,31,33
4,10,16,17,21,29,31,33
4,10,16,17,23,24,27,28
4,10,16,17,23,24,27,29
4,10,16,17,23,24,28,31
4,10,16,17,23,24,29,31
4,10,16,17,23,27,28,33
4,10,16,17,23,27,29,33
4,10,16,17,23,28,31,33
4,10,16,17,23,29,31,33
4,10,16,17,24,27,28,30
4,10,16,17,24,27,29,30
4,10,16,17,24,28,30,31
4,10,16,17,24,29,30,31
4,10,16,17,27,28,30,33
4,10,16,17,27,29,30,33
4,10,16,17,28,30,31,33
4,10,16,17,29,30,31,33
4,10,17,21,24,27,28,33
4,10,17,21,24,27,29,33
4,10,17,21,24,28,31,33
4,10,17,21,24,29,31,33
4,10,17,23,24,27,28,33
4,10,17,23,24,27,29,33
4,10,17,23,24,28,31,33
4,10,17,23,24,29,31,33
4,10,17,24,27,28,30,33
4,10,17,24,27,29,30,33
4,10,17,24,28,30,31,33
4,10,17,24,29,30,31,33
